Simplified,Pinyin,Level
如此,rúcǐ,6
或,huò,3
整天,zhèngtiān,5
但,dàn,3
话,huà,2
后,hòu,3
时,shí,3
成,chéng,4
事,shì,2
作案,zuòàn,6
细密,xìmì,6
才,cái,3
珠宝,zhūbǎo,6
同样,tóngyàng,3
爬,pá,3
左,zuǒ,2
右,yòu,2
者,zhe,4
于,yú,5
道,dào,3
耳,ěr,3
卫生,wēishēng,4
贴,tiē,5
石,shí,5
凳,dēng,7
油,yóu,4
父母,fùmǔ,4
飞,fēi,3
中,zhōng,1
飞虫,fēichóng,5
心急,xīnjí,5
一个,yíge,1
商人,shàngrén,3
偏好,piānhào,6
而是,érshì,4
占有欲,zhànyǒuyù,6
付出,fùchū,5
因为,yīnwèi,2
所以,suǒyǐ,2
生意人,shēngyìrén,4
生意场,shēngyìchǎng,4
只有,zhǐyǒu,3
卖出去,màichūqù,3
压在,yāzài,4
那儿,nàer,1
那里,nàlǐ,1
哪里,nǎlǐ,1
哪儿,nǎer,1
这里,zhèlǐ,1
这儿,zhèer,1
那些,nàxiē,2
这些,zhèxiē,2
哪些,nǎxiē,2
大多数,dàduōshù,4
偏爱,piān'ài,6
女性,nǚxìng,4
男性,nánxìng,4
最有,zuìyǒu,3
吸引力,xīyīnlì,4
人们,rénmen,1
喜爱,xǐ'ài,3
珠宝商,zhūbǎoshàng,6
男士,nánshì,4
女士,nǚshì,4
大多,dàduō,2
正是,zhèngshì,4
所卖,suǒmài,5
购进,gòujìn,6
做出,zuòchū,3
其他人,qítārén,3
这样,zhèyàng,3
那样,nàyàng,3
更大,gèngdà,3
暑假,shǔjià,4
梅岭,méilǐng,7
岭,lǐng,7
钻进,zuānjìn,6
钻,zuān,7
极了,jíle,3
银质,yínzhì,5
掏耳勺,tāo'ěrsháo,6
闯入,chuǎngrù,5
耳孔,ěrkǒng,6
拦住,lánzhù,5
深处,shēnchù,5
该,gāi,4
怎么办,zěnmebàn,3
爱人,àirén,2
粘住,zhānzhù,5
温,wēn,5
棉签,miánqiān,6
吸干,xīgān,5
手电筒,shǒudiàntǒng,6
摆布,bǎibù,6
惊喜,jīngxǐ,6
不必,búbì,5
