,Simplified,Pinyin,English,Level,Part of Speech,No.
0,爱,ài,to love,1,,
1,八,bā,eight,1,,
2,爸爸,bàba,dad,1,,
3,吧,ba,particle indicating suggestion; confirmation; or hesitation,1,,
4,白天,báitiān,daytime,1,,
5,百,bǎi,hundred,1,,
6,半,bàn,half (half; semi-),1,,
7,包子,bāozi,steamed stuffed bun,1,,
8,杯子,bēizi,cup; glass,1,,
9,本,běn,measure word for books,1,,
10,边,biān,side; suffix indicating direction,1,,
11,病,bìng,illness; disease; to be ill,1,,
12,不,bù,not; no,1,,
13,不客气,bú kèqi;you’re welcome,,1,,
14,不要,búyào,don’t; not want,1,,
15,菜,cài,vegetable; dish,1,,
16,茶,chá,tea,1,,
17,唱,chàng,to sing,1,,
18,超市,chāoshì,supermarket,1,,
19,车,chē,vehicle; car,1,,
20,吃,chī,to eat,1,,
21,出租车,chūzūchē,taxi,1,,
22,穿,chuān,to wear,1,,
23,打电话,dǎ diànhuà,to make a phone call,1,,
24,大,dà,big,1,,
25,大家,dàjiā,everyone,1,,
26,大学,dàxué,university,1,,
27,大学生,dàxuéshēng,university student,1,,
28,到,dào,to arrive,1,,
29,的,de,possessive or modifying particle,1,,
30,第,dì,prefix for ordinal numbers,1,,
31,弟弟,dìdi,younger brother,1,,
32,点,diǎn,measure word for small round things; (point; dot),1,,
33,店,diàn,shop; store,1,,
34,电话,diànhuà,telephone; phone call,1,,
35,电脑,diànnǎo,computer,1,,
36,电视,diànshì,television,1,,
37,电影,diànyǐng,movie; film,1,,
38,电影院,diànyǐngyuàn,cinema,1,,
39,东西,dōngxi,thing; object,1,,
40,都,dōu,all; both,1,,
41,读,dú,to read,1,,
42,读书,dúshū,to read a book,1,,
43,对,duì,correct; right; to; toward; for; (to treat; pair),1,,
44,对不起,duìbuqǐ,sorry,1,,
45,多,duō,many; much; to have more; how many; how much; (more; over),1,,
46,多少,duōshao,how many; how much,1,,
47,儿子,érzi,son,1,,
48,二,èr,two,1,,
49,饭,fàn,cooked rice; meal,1,,
50,饭店,fàndiàn,restaurant,1,,
51,房间,fángjiān,room,1,,
52,非常,fēicháng,very; extremely,1,,
53,飞机,fēijī,airplane,1,,
54,分,fēn,minute; (to divide; to separate; component; part),1,,
55,分钟,fēnzhōng,minute,1,,
56,高兴,gāoxìng,happy; glad,1,,
57,歌,gē,song,1,,
58,哥哥,gēge,older brother,1,,
59,个,gè,measure word for general objects,1,,
60,给,gěi,to give; (to; for),1,,
61,公司,gōngsī,company,1,,
62,工作,gōngzuò,work; to work,1,,
63,狗,gǒu,dog,1,,
64,贵,guì,expensive,1,,
65,国,guó,country,1,,
66,还,hái,still; also; quite,1,,
67,孩子,háizi,child,1,,
68,汉语,Hànyǔ,Chinese language,1,,
69,汉字,Hànzì,Chinese character,1,,
70,好,hǎo,good; (well); (to be fond of),1,,
71,好吃,hǎochī,delicious; tasty,1,,
72,好看,hǎokàn,good-looking,1,,
73,好听,hǎotīng,pleasant to listen to,1,,
74,好玩儿,hǎowánr,fun; amusing,1,,
75,号,hào,number; measure word for people; items,1,,
76,喝,hē,to drink,1,,
77,和,hé,and; with,1,,
78,很,hěn,very,1,,
79,后,hòu,behind; later,1,,
80,回,huí,to return; (measure word for times),1,,
81,会,huì,can; to be able to,1,,
82,火车,huǒchē,train,1,,
83,鸡蛋,jīdàn,egg,1,,
84,几,jǐ,how many; a few,1,,
85,家,jiā,home; family; measure word for families; (suffix indicating a person specializing in something),1,,
86,家人,jiārén,family member,1,,
87,见,jiàn,to see,1,,
88,件,jiàn,measure word for items,1,,
89,饺子,jiǎozi,dumpling,1,,
90,叫,jiào,to be called; to call; to make; (by),1,,
91,姐姐,jiějie,older sister,1,,
92,今年,jīnnián,this year,1,,
93,今天,jīntiān,today,1,,
94,九,jiǔ,nine,1,,
95,觉得,juéde,to feel; to think,1,,
96,开,kāi,to open,1,,
97,开车,kāichē,to drive,1,,
98,看,kàn,to see; to look,1,,
99,看病,kànbìng,to see a doctor,1,,
100,看见,kànjiàn,to see,1,,
101,可以,kěyǐ,can; may; okay; fine,1,,
102,课,kè,class; lesson,1,,
103,口,kǒu,mouth; measure word for family members; bites,1,,
104,块,kuài,measure word for pieces; chunks; money,1,,
105,来,lái,to come,1,,
106,老师,lǎoshī,teacher,1,,
107,了,le,particle indicating completed action or change of state,1,,
108,冷,lěng,cold,1,,
109,里,lǐ,inside; in; mile,1,,
110,两,liǎng,two,1,,
111,零,líng,zero,1,,
112,六,liù,six,1,,
113,妈妈,māma,mom,1,,
114,吗,ma,question particle,1,,
115,买,mǎi,to buy,1,,
116,卖,mài,to sell,1,,
117,忙,máng,busy; to be busy,1,,
118,猫,māo,cat,1,,
119,没关系,méi guānxi,never mind; it’s okay,1,,
120,没事,méishì,to have nothing to do; it doesn’t matter,1,,
121,没有,méiyǒu,to not have; have not,1,,
122,妹妹,mèimei,younger sister,1,,
123,们,men,plural suffix for pronouns and nouns,1,,
124,米饭,mǐfàn,cooked rice,1,,
125,面包,miànbāo,bread,1,,
126,面条儿,miàntiáor,noodles,1,,
127,明年,míngnián,next year,1,,
128,明天,míngtiān,tomorrow,1,,
129,名字,míngzi,name,1,,
130,哪,nǎ,which,1,,
131,哪个,nǎge,which one,1,,
132,哪里,nǎlǐ,where,1,,
133,哪儿,nǎr,where,1,,
134,哪些,nǎxiē,which ones,1,,
135,那,nà,that; (then),1,,
136,那边,nàbiān,over there,1,,
137,那个,nàge,that one,1,,
138,那里,nàlǐ,there,1,,
139,那儿,nàr,there,1,,
140,那些,nàxiē,those,1,,
141,男,nán,male,1,,
142,男朋友,nánpéngyou,boyfriend,1,,
143,呢,ne,question or continuation particle,1,,
144,能,néng,can; be able to,1,,
145,你,nǐ,you,1,,
146,你好,nǐ hǎo,hello,1,,
147,你们,nǐmen,you plural,1,,
148,年,nián,year; measure word for years,1,,
149,您,nín,you,1,,
150,牛奶,niúnǎi,milk,1,,
151,女,nǚ,female,1,,
152,女儿,nǚ’ér,daughter,1,,
