Simplified,Pinyin,Level
爱,ài,1
八,bā,1
爸爸,bà ba,1
杯子,bēi zi,1
北京,běi jīng,1
本,běn,1
不客气,bú kè qi,1
不,bù,1
菜,cài,1
茶,chá,1
吃,chī,1
出租车,chū zū chē,1
打电话,dǎ diàn huà,1
大,dà,1
的,de,1
点,diǎn,1
电脑,diàn nǎo,1
电视,diàn shì,1
电影,diàn yǐng,1
东西,dōng xi,1
都,dōu,1
读,dú,1
对不起,duì bu qǐ,1
多,duō,1
多少,duō shǎo,1
儿子,ér zi,1
二,èr,1
饭店,fàn diàn,1
飞机,fēi jī,1
分钟,fēn zhōng,1
高兴,gāo xìng,1
个,gè,1
工作,gōng zuò,1
狗,gǒu,1
汉语,hàn yǔ,1
好,hǎo,1
号,hào,1
喝,hē,1
和,hé,1
很,hěn,1
后面,hòu miàn,1
回,huí,1
会,huì,1
几,jǐ,1
家,jiā,1
叫,jiào,1
今天,jīn tiān,1
九,jiǔ,1
开,kāi,1
看,kàn,1
看见,kàn jiàn,1
块,kuài,1
来,lái,1
老师,lǎo shī,1
了,le,1
冷,lěng,1
里,lǐ,1
六,liù,1
吗,ma,1
妈妈,mā ma,1
买,mǎi,1
猫,māo,1
没关系,méi guān xi,1
没有,méi yǒu,1
米饭,mǐ fàn,1
名字,míng zi,1
明天,míng tiān,1
哪,nǎ,1
哪儿,nǎ er,1
那,nà,1
呢,ne,1
能,néng,1
你,nǐ,1
年,nián,1
女儿,nǚ ér,1
朋友,péng you,1
漂亮,piào liang,1
苹果,píng guǒ,1
七,qī,1
前面,qián miàn,1
钱,qián,1
请,qǐng,1
去,qù,1
热,rè,1
人,rén,1
认识,rèn shi,1
三,sān,1
商店,shāng diàn,1
上,shàng,1
上午,shàng wǔ,1
少,shǎo,1
谁,shéi,1
什么,shén me,1
十,shí,1
时候,shí hou,1
是,shì,1
书,shū,1
水,shuǐ,1
水果,shuǐguǒ,1
睡觉,shuì jiào,1
说,shuō,1
四,sì,1
岁,suì,1
他,tā,1
她,tā,1
太,tài,1
天气,tiān qì,1
听,tīng,1
同学,tóng xué,1
喂,wèi,1
我,wǒ,1
我们,wǒ men,1
五,wǔ,1
喜欢,xǐ huan,1
下,xià,1
下午,xià wǔ,1
下雨,xià yǔ,1
先生,xiān sheng,1
现在,xiàn zài,1
想,xiǎng,1
小,xiǎo,1
小姐,xiǎo jie,1
些,xiē,1
写,xiě,1
谢谢,xiè xie,1
星期,xīng qī,1
学生,xué sheng,1
学习,xué xí,1
学校,xué xiào,1
一,yī,1
一点儿,yī diǎn er,1
医生,yī shēng,1
医院,yī yuàn,1
衣服,yī fu,1
椅子,yǐ zi,1
有,yǒu,1
月,yuè,1
再见,zài jiàn,1
在,zài,1
怎么,zěn me,1
怎么样,zěn me yàng,1
这,zhè,1
中国,zhōng guó,1
中午,zhōng wǔ,1
住,zhù,1
桌子,zhuō zi,1
字,zì,1
昨天,zuó tiān,1
做,zuò,1
坐,zuò,1
吧,ba,2
白,bái,2
百,bǎi,2
帮助,bāng zhù,2
报纸,bào zhǐ,2
比,bǐ,2
别,bié,2
宾馆,bīn guǎn,2
长,cháng,2
唱歌,chàng gē,2
出,chū,2
穿,chuān,2
次,cì,2
从,cóng,2
错,cuò,2
打篮球,dǎ lán qiú,2
大家,dà jiā,2
到,dào,2
得,de,2
等,děng,2
弟弟,dì di,2
第一,dì yī,2
懂,dǒng,2
对,duì,2
房间,fáng jiān,2
非常,fēi cháng,2
服务员,fú wù yuán,2
高,gāo,2
告诉,gào su,2
哥哥,gē ge,2
给,gěi,2
公共汽车,gōng gòng qì chē,2
公司,gōng sī,2
贵,guì,2
过,guo,2
孩子,hái zi,2
还,hái,2
好吃,hǎo chī,2
黑,hēi,2
红,hóng,2
火车站,huǒ chē zhàn,2
机场,jī chǎng,2
鸡蛋,jī dàn,2
